"날짜","종가","오픈","고가","저가","변동 %"
"2021년 09월 17일","1,180.69","1,175.36","1,182.81","1,174.23","0.47%"
"2021년 09월 16일","1,175.19","1,166.39","1,176.94","1,165.20","0.77%"
"2021년 09월 15일","1,166.23","1,172.41","1,174.70","1,164.77","-0.51%"
"2021년 09월 14일","1,172.23","1,173.44","1,175.20","1,166.38","-0.05%"
"2021년 09월 13일","1,172.83","1,170.38","1,177.53","1,170.02","0.22%"
"2021년 09월 10일","1,170.23","1,169.81","1,174.13","1,164.83","0.05%"
"2021년 09월 09일","1,169.64","1,167.14","1,172.21","1,166.05","0.27%"
"2021년 09월 08일","1,166.54","1,162.16","1,168.83","1,161.15","0.39%"
"2021년 09월 07일","1,161.98","1,157.33","1,166.02","1,155.00","0.43%"
"2021년 09월 06일","1,157.04","1,155.75","1,159.97","1,154.53","0.24%"
"2021년 09월 03일","1,154.28","1,158.23","1,159.71","1,152.54","-0.33%"
"2021년 09월 02일","1,158.05","1,156.08","1,162.44","1,155.05","0.22%"
"2021년 09월 01일","1,155.47","1,158.95","1,160.64","1,154.54","-0.28%"
"2021년 08월 31일","1,158.73","1,166.07","1,167.43","1,155.18","-0.48%"
"2021년 08월 30일","1,164.34","1,162.33","1,167.71","1,161.88","0.27%"
"2021년 08월 27일","1,161.23","1,170.71","1,174.77","1,160.89","-0.79%"
"2021년 08월 26일","1,170.53","1,164.05","1,172.01","1,162.97","0.57%"
"2021년 08월 25일","1,163.87","1,164.02","1,169.37","1,162.92","0.02%"
"2021년 08월 24일","1,163.65","1,169.06","1,171.57","1,163.10","-0.49%"
"2021년 08월 23일","1,169.36","1,175.24","1,177.56","1,167.43","-0.49%"
"2021년 08월 20일","1,175.15","1,176.46","1,184.85","1,171.21","-0.10%"
"2021년 08월 19일","1,176.28","1,170.28","1,178.40","1,169.66","0.53%"
"2021년 08월 18일","1,170.03","1,177.44","1,179.94","1,166.89","-0.62%"
"2021년 08월 17일","1,177.30","1,165.45","1,179.80","1,164.60","1.03%"
"2021년 08월 16일","1,165.28","1,162.37","1,168.81","1,161.46","0.34%"
"2021년 08월 13일","1,161.37","1,163.16","1,171.15","1,160.38","-0.14%"
"2021년 08월 12일","1,162.98","1,154.16","1,166.15","1,152.96","0.78%"
"2021년 08월 11일","1,153.98","1,152.90","1,159.69","1,151.89","0.11%"
"2021년 08월 10일","1,152.70","1,147.07","1,154.29","1,145.78","0.51%"
"2021년 08월 09일","1,146.89","1,145.93","1,148.86","1,142.35","0.17%"
"2021년 08월 06일","1,144.93","1,142.94","1,148.29","1,140.15","0.20%"
"2021년 08월 05일","1,142.59","1,144.94","1,146.84","1,140.62","-0.19%"
"2021년 08월 04일","1,144.76","1,148.63","1,149.72","1,140.02","-0.32%"
"2021년 08월 03일","1,148.44","1,150.35","1,153.91","1,146.59","-0.15%"
"2021년 08월 02일","1,150.18","1,151.90","1,154.60","1,148.52","-0.11%"
"2021년 07월 30일","1,151.41","1,143.30","1,154.78","1,142.04","0.73%"
"2021년 07월 29일","1,143.12","1,150.44","1,152.12","1,140.48","-0.62%"
"2021년 07월 28일","1,150.27","1,154.44","1,159.96","1,149.24","-0.34%"
"2021년 07월 27일","1,154.25","1,152.71","1,158.65","1,148.86","0.15%"
"2021년 07월 26일","1,152.54","1,152.12","1,157.24","1,151.26","0.09%"
"2021년 07월 23일","1,151.52","1,150.86","1,155.41","1,147.15","0.08%"
