,buySpread,sellSpread,bestSpotPrice,spotAvgPrice,bestFuturePrice,futreAvgPrice,spotSlippage,futureSlippage,outOfRange_S,outOfRange_F
0,-1.1036036036036037,0.0,44400.0,44400.0,43910.0,43910.22948017146,0.0,0.0005226148291043658,False,False
1,0.0,0.22224449383211425,44999.99,44999.999475975004,45100.0,45055.26734248587,2.1057726915835117e-05,0.09918549337943883,False,False
2,0.0,0.23636163822727743,42676.13,42689.02640312148,42777.0,42777.0,0.030219242282478503,0.0,False,False
3,-0.2283937745058689,0.0,38411.73,38403.03204871897,38324.0,38388.950123253206,0.022643997760673065,0.1694763679501244,False,False
4,-0.2982269847226349,0.0,37867.13,37864.003990835634,37754.2,37777.84386324476,0.008255204881815695,0.0626257826804984,False,False
5,-0.2327643626646135,0.0,37518.63,37518.43815223073,37431.3,37431.92238800563,0.0005113400176580067,0.0016627475017638358,False,False
6,-0.23948903408889774,0.0,38114.48,38114.48,38023.2,38025.26667051236,0.0,0.0054352882249937345,False,False
7,-0.23189541740545036,0.0,39754.99,39750.3032379485,39662.8,39694.82197869432,0.011789116414057131,0.08073554740038484,False,False
8,-0.29868506333889605,0.0,39868.08,39858.955538487775,39749.0,39750.16288990987,0.02288663389916656,0.0029255828067934276,False,False
9,0.0,0.25225885225885936,40950.0,40971.42425255824,41053.3,41051.234155433216,0.052318077065293386,0.005032103550230642,False,False
10,-0.3497688055913702,0.0,38962.88,38948.618973441575,38826.6,38864.77415018006,0.03660157195367129,0.09831958033941761,False,False
11,-0.27979693754569307,0.0,38988.99,38977.16834442804,38879.9,38901.60985913438,0.03032049707354689,0.055838258674487294,False,False
12,-0.2672850049362518,0.0,39736.61,39721.66415514188,39630.4,39630.516129799464,0.037612279603420715,0.0002930321154018495,False,False
13,-0.3129312298225003,0.0,39762.73,39736.55366704554,39638.3,39638.3,0.06583132736223807,0.0,False,False
14,-0.2206627225363637,0.0,39762.04,39754.634550867144,39674.3,39694.99886790844,0.018624419503770504,0.05217198011921784,True,False
15,0.0,0.36503515936494857,39727.68,39739.72103267684,39872.7,39797.06678566285,0.03030892485249498,0.18968671380956736,False,False
16,-0.2647731375616915,0.0,38221.4,38207.5154579636,38120.2,38209.44780576621,0.03632661816783634,0.23412208164231985,False,False
17,-0.39473684210526316,0.0,38000.0,38000.0,37850.0,37909.62733769119,0.0,0.15753589878782623,False,False
18,-0.23711226497889468,0.0,37897.66,37897.08082552337,37807.8,37823.6585840623,0.0015282592028954649,0.041945270717413274,False,False
19,-0.2533525243893569,0.0,37927.39,37927.39,37831.3,37839.995489038796,0.0,0.022984906780346724,False,True
20,-0.2800925431458792,0.0,37919.61,37919.0259130143,37813.4,37814.49302023849,0.0015403296228478542,0.002890563235497443,False,False
21,-0.22577695851756868,0.0,37931.24,37912.047696819645,37845.6,37846.50683142913,0.050597616055664436,0.002396134369990019,False,False
22,-0.23178989442441053,0.0,37948.16,37945.868500122975,37860.2,37861.389533515234,0.00603850062039477,0.0031419102784366955,False,False
23,-0.22502111629319224,0.0,37991.99,37984.36329356745,37906.5,37906.96692143049,0.02007451158139162,0.0012317714125244553,False,False
24,-0.25361583952456124,0.0,37765.78,37753.60401134453,37670.0,37678.25554880921,0.03224079750364453,0.021915446799074003,False,False
25,-0.27886744168985056,0.0,37756.29,37751.750402400656,37651.0,37654.35093548688,0.012023420731605628,0.008899990669252315,False,False
26,-0.26092057520537626,0.0,37793.11,37778.20186632432,37694.5,37702.316861482286,0.039446697230471325,0.020737405940617824,False,False
27,-0.22230898727199278,0.0,37803.24,37802.73315271819,37719.2,37719.858663689585,0.0013407509033863609,0.0017462292137376677,False,False
28,-0.23425250535074965,0.0,37877.93,37872.484047227495,37789.2,37800.062554781274,0.014377640944224841,0.02874513030515899,False,False
29,-0.22416661383147402,0.0,38957.63,38949.25585552307,38870.3,38870.579092174194,0.021495518276973526,0.0007180087989820938,False,False
30,-0.2656734650599768,0.0,40177.14,40169.791389390164,40070.4,40073.95988391005,0.018290526926096045,0.008884073805226284,False,False
31,-0.231167494209611,0.0,40157.03,40105.49434977319,40064.2,40064.751893124674,0.1283353132111897,0.001377521889060578,False,False
32,-0.2755850459532392,0.0,40190.86,40170.8399531889,40080.1,40081.43519469702,0.04981243698467698,0.0033313157826989127,True,False
33,-0.3657085065748862,0.0,40302.59,40277.06237129848,40155.2,40161.59081965685,0.06333992108575383,0.015915297786717082,True,False
34,-0.2881742920167891,0.0,40333.23,40318.057649180926,40217.0,40268.29529994182,0.037617495100385236,0.12754631111674017,True,False
35,-0.5214906489370064,0.0,40426.42,40414.13281029646,40215.6,40217.74761362155,0.03039395945408119,0.005340250105803919,False,False
36,-0.590845050422482,0.0,40492.85,40474.282202863564,40253.6,40302.38681478036,0.04585450798458202,0.12119863758858873,False,False
37,-0.2589566546475699,0.0,40485.54,40467.08874416494,40380.7,40386.46863208974,0.04557492832023878,0.014285616865831956,False,False
38,-0.34250209128619136,0.0,40525.3,40515.62512870951,40386.5,40483.84358625007,0.023873657420168396,0.24103001312337063,False,False
39,-0.3455343203628444,0.0,40545.9,40540.1196501869,40405.8,40604.19512953367,0.014256311521271905,0.4910065622600381,False,True
40,0.0,0.4697506158015065,40540.66,40541.5387834295,40731.1,40571.588726677655,0.002167659405396681,0.39162034249588934,False,False
41,0.0,0.4115928482497212,40440.45,40445.619940725424,40606.9,40584.87709185574,0.012784083078767165,0.05423439894269057,False,False
42,0.0,0.5439585547842508,40396.46,40400.574832731094,40616.2,40616.078888117285,0.01018612207875342,0.00029818614915300937,False,False
